靡ㄩ絏,るら,Μ絃基(じ)
2327 瓣エ,2018/6/14,901.41
2330 縩筿,2018/6/14,226.5
2357 地河,2018/6/14,281
2382 約笷,2018/6/14,54.5
2395 地,2018/6/14,206
2408 玭ㄈ,2018/6/14,93
2409 ね笷,2018/6/14,13.3
2412 い地筿,2018/6/14,109
2454 羛祇,2018/6/14,315
2474 Θ,2018/6/14,344
2633 芖蔼臟,2018/6/14,23.3
2801 裹蝗,2018/6/14,17.06
2823 い关,2018/6/14,30.09
2880 地玭,2018/6/14,17.03
2881 碔ü,2018/6/14,52.9
2882 瓣,2018/6/14,54.5
2883 秨祇,2018/6/14,11.15
2884 ド,2018/6/14,20.16
2885 じ,2018/6/14,14
2886 伦,2018/6/14,26.6
2887 穝,2018/6/14,13.83
2890 ッ伦,2018/6/14,11.02
2891 い獺,2018/6/14,21.9
2892 材,2018/6/14,20.49
2912 参禬,2018/6/14,313.5
3008 ミ,2018/6/14,"4,620"
3045 芖,2018/6/14,110
3481 竤承,2018/6/14,11.95
4904 环肚,2018/6/14,76.9
4938 ㎝河,2018/6/14,66.5
5871 い-KY,2018/6/14,104.41
5880 畐,2018/6/14,17.38
6505 鹅て,2018/6/14,119.5
9904 腳Θ,2018/6/14,36.95
3711 らるщ北,2018/6/14,74.5
1101 猟,2018/6/15,41.13
1102 ㄈ猟,2018/6/15,33.45
1216 参,2018/6/15,74.2
1301 鹅,2018/6/15,106
1303 玭ㄈ,2018/6/15,84.6
1326 て,2018/6/15,112.5
1402 环狥穝,2018/6/15,29.6
2002 い葵,2018/6/15,23.65
2105 タ穝,2018/6/15,46.25
2207 ㎝ó,2018/6/15,287.5
2301 腳,2018/6/15,38.55
2303 羛筿,2018/6/15,18.65
2308 笷筿,2018/6/15,113.5
2317 翬,2018/6/15,103.12
2327 瓣エ,2018/6/15,947.31
2330 縩筿,2018/6/15,231
2357 地河,2018/6/15,279.5
2382 約笷,2018/6/15,53.9
2395 地,2018/6/15,206.5
2408 玭ㄈ,2018/6/15,92.3
2409 ね笷,2018/6/15,13.5
2412 い地筿,2018/6/15,109.5
2454 羛祇,2018/6/15,315
2474 Θ,2018/6/15,352.5
2633 芖蔼臟,2018/6/15,24.1
2801 裹蝗,2018/6/15,17.11
2823 い关,2018/6/15,30.56
2880 地玭,2018/6/15,17.07
2881 碔ü,2018/6/15,53.7
2882 瓣,2018/6/15,55.3
2883 秨祇,2018/6/15,11.2
2884 ド,2018/6/15,20.25
2885 じ,2018/6/15,14.15
2886 伦,2018/6/15,26.75
2887 穝,2018/6/15,13.92
2890 ッ伦,2018/6/15,10.97
2891 い獺,2018/6/15,22.15
2892 材,2018/6/15,20.49
2912 参禬,2018/6/15,313
3008 ミ,2018/6/15,"4,590"
3045 芖,2018/6/15,109.5
3481 竤承,2018/6/15,12
4904 环肚,2018/6/15,76.2
4938 ㎝河,2018/6/15,66.2
5871 い-KY,2018/6/15,105.39
5880 畐,2018/6/15,17.28
6505 鹅て,2018/6/15,121
9904 腳Θ,2018/6/15,36.4
3711 らるщ北,2018/6/15,74.4
1101 猟,2018/6/19,39.86
1102 ㄈ猟,2018/6/19,32.65
1216 参,2018/6/19,74.3
1301 鹅,2018/6/19,105.5
1303 玭ㄈ,2018/6/19,82.8
1326 て,2018/6/19,111
1402 环狥穝,2018/6/19,28.5
2002 い葵,2018/6/19,23.4
2105 タ穝,2018/6/19,45.1
2207 ㎝ó,2018/6/19,278
2301 腳,2018/6/19,38.15
2303 羛筿,2018/6/19,18.2
2308 笷筿,2018/6/19,110.5
2317 翬,2018/6/19,100.7
2327 瓣エ,2018/6/19,863.85
2330 縩筿,2018/6/19,225
2357 地河,2018/6/19,278
2382 約笷,2018/6/19,53.5
2395 地,2018/6/19,203.5
2408 玭ㄈ,2018/6/19,90.6
2409 ね笷,2018/6/19,13.15
2412 い地筿,2018/6/19,109
2454 羛祇,2018/6/19,312
2474 Θ,2018/6/19,350
2633 芖蔼臟,2018/6/19,23.4
2801 裹蝗,2018/6/19,16.96
2823 い关,2018/6/19,29.99
2880 地玭,2018/6/19,16.83
2881 碔ü,2018/6/19,53
2882 瓣,2018/6/19,55
2883 秨祇,2018/6/19,11.05
2884 ド,2018/6/19,19.97
2885 じ,2018/6/19,13.8
2886 伦,2018/6/19,26.35
2887 穝,2018/6/19,13.78
2890 ッ伦,2018/6/19,10.88
2891 い獺,2018/6/19,21.6
2892 材,2018/6/19,20.19
2912 参禬,2018/6/19,322
3008 ミ,2018/6/19,"4,350"
3045 芖,2018/6/19,109.5
3481 竤承,2018/6/19,11.6
4904 环肚,2018/6/19,75.5
4938 ㎝河,2018/6/19,65.3
5871 い-KY,2018/6/19,102.44
5880 畐,2018/6/19,17.13
6505 鹅て,2018/6/19,118.5
9904 腳Θ,2018/6/19,36.15
3711 らるщ北,2018/6/19,72.1
1101 猟,2018/6/20,40.68
1102 ㄈ猟,2018/6/20,33.1
1216 参,2018/6/20,75.9
1301 鹅,2018/6/20,107.5
1303 玭ㄈ,2018/6/20,84.4
1326 て,2018/6/20,114.5
1402 环狥穝,2018/6/20,29
2002 い葵,2018/6/20,23.8
2105 タ穝,2018/6/20,45.55
2207 ㎝ó,2018/6/20,283.5
2301 腳,2018/6/20,38.1
2303 羛筿,2018/6/20,18.05
2308 笷筿,2018/6/20,111
2317 翬,2018/6/20,100.7
2327 瓣エ,2018/6/20,842.98
2330 縩筿,2018/6/20,226
2357 地河,2018/6/20,279
2382 約笷,2018/6/20,54
2395 地,2018/6/20,204.5
2408 玭ㄈ,2018/6/20,90.4
2409 ね笷,2018/6/20,13.5
2412 い地筿,2018/6/20,110
2454 羛祇,2018/6/20,310
2474 Θ,2018/6/20,345.5
2633 芖蔼臟,2018/6/20,23.7
2801 裹蝗,2018/6/20,17.01
2823 い关,2018/6/20,30.32
2880 地玭,2018/6/20,16.88
2881 碔ü,2018/6/20,53.7
2882 瓣,2018/6/20,55.5
2883 秨祇,2018/6/20,11.1
2884 ド,2018/6/20,19.97
2885 じ,2018/6/20,13.9
2886 伦,2018/6/20,26.6
2887 穝,2018/6/20,13.88
2890 ッ伦,2018/6/20,10.93
2891 い獺,2018/6/20,21.85
2892 材,2018/6/20,20.29
2912 参禬,2018/6/20,323
3008 ミ,2018/6/20,"4,405"
3045 芖,2018/6/20,110
3481 竤承,2018/6/20,11.8
4904 环肚,2018/6/20,77.6
4938 ㎝河,2018/6/20,67
5871 い-KY,2018/6/20,100.97
5880 畐,2018/6/20,17.18
6505 鹅て,2018/6/20,121
9904 腳Θ,2018/6/20,35.45
3711 らるщ北,2018/6/20,72.1
1101 猟,2018/6/21,40.68
1102 ㄈ猟,2018/6/21,33.25
1216 参,2018/6/21,77
1301 鹅,2018/6/21,108.5
1303 玭ㄈ,2018/6/21,84.2
1326 て,2018/6/21,115.5
1402 环狥穝,2018/6/21,28.8
2002 い葵,2018/6/21,23.65
2105 タ穝,2018/6/21,45.2
2207 ㎝ó,2018/6/21,278
2301 腳,2018/6/21,38
2303 羛筿,2018/6/21,17.65
2308 笷筿,2018/6/21,110.5
2317 翬,2018/6/21,100.33
2327 瓣エ,2018/6/21,823.78
2330 縩筿,2018/6/21,226.5
2357 地河,2018/6/21,278.5
2382 約笷,2018/6/21,54
2395 地,2018/6/21,203.5
2408 玭ㄈ,2018/6/21,92.5
2409 ね笷,2018/6/21,13.25
2412 い地筿,2018/6/21,109.5
2454 羛祇,2018/6/21,312
2474 Θ,2018/6/21,342.5
2633 芖蔼臟,2018/6/21,23.6
2801 裹蝗,2018/6/21,16.96
2823 い关,2018/6/21,30.14
2880 地玭,2018/6/21,16.83
2881 碔ü,2018/6/21,53.9
2882 瓣,2018/6/21,55.9
2883 秨祇,2018/6/21,11.1
2884 ド,2018/6/21,19.83
2885 じ,2018/6/21,13.9
2886 伦,2018/6/21,26.6
2887 穝,2018/6/21,13.88
2890 ッ伦,2018/6/21,10.93
2891 い獺,2018/6/21,21.7
2892 材,2018/6/21,20.29
2912 参禬,2018/6/21,334
3008 ミ,2018/6/21,"4,495"
3045 芖,2018/6/21,111
3481 竤承,2018/6/21,11.35
4904 环肚,2018/6/21,77.7
4938 ㎝河,2018/6/21,66
5871 い-KY,2018/6/21,102.44
5880 畐,2018/6/21,17.23
6505 鹅て,2018/6/21,119.5
9904 腳Θ,2018/6/21,35.8
3711 らるщ北,2018/6/21,72.6
1101 猟,2018/6/22,40.54
1102 ㄈ猟,2018/6/22,33.7
1216 参,2018/6/22,76.7
1301 鹅,2018/6/22,109.5
1303 玭ㄈ,2018/6/22,84.6
1326 て,2018/6/22,117.5
1402 环狥穝,2018/6/22,28.85
2002 い葵,2018/6/22,23.7
2105 タ穝,2018/6/22,45.1
2207 ㎝ó,2018/6/22,277
2301 腳,2018/6/22,37.95
2303 羛筿,2018/6/22,17.8
2308 笷筿,2018/6/22,110.5
2317 翬,2018/6/22,99.85
2327 瓣エ,2018/6/22,786.23
2330 縩筿,2018/6/22,227.5
2357 地河,2018/6/22,274.5
2382 約笷,2018/6/22,54.5
2395 地,2018/6/22,202
2408 玭ㄈ,2018/6/22,92.5
2409 ね笷,2018/6/22,12.95
2412 い地筿,2018/6/22,110
2454 羛祇,2018/6/22,310.5
2474 Θ,2018/6/22,334
2633 芖蔼臟,2018/6/22,23.5
2801 裹蝗,2018/6/22,17.01
2823 い关,2018/6/22,29.99
2880 地玭,2018/6/22,16.79
2881 碔ü,2018/6/22,53.7
2882 瓣,2018/6/22,56
2883 秨祇,2018/6/22,11.05
2884 ド,2018/6/22,19.69
2885 じ,2018/6/22,14
2886 伦,2018/6/22,26.6
2887 穝,2018/6/22,13.78
2890 ッ伦,2018/6/22,10.88
2891 い獺,2018/6/22,21.85
2892 材,2018/6/22,20.44
2912 参禬,2018/6/22,331
3008 ミ,2018/6/22,"4,370"
3045 芖,2018/6/22,111
3481 竤承,2018/6/22,11.2
4904 环肚,2018/6/22,77.7
4938 ㎝河,2018/6/22,65
5871 い-KY,2018/6/22,102.93
5880 畐,2018/6/22,17.23
6505 鹅て,2018/6/22,120
9904 腳Θ,2018/6/22,35.35
3711 らるщ北,2018/6/22,72.3
1101 猟,2018/6/25,40.63
1102 ㄈ猟,2018/6/25,32.75
1216 参,2018/6/25,76.7
1301 鹅,2018/6/25,110
1303 玭ㄈ,2018/6/25,85
1326 て,2018/6/25,118
1402 环狥穝,2018/6/25,29.45
2002 い葵,2018/6/25,23.4
2105 タ穝,2018/6/25,45
2207 ㎝ó,2018/6/25,270.5
2301 腳,2018/6/25,37.45
2303 羛筿,2018/6/25,17.8
2308 笷筿,2018/6/25,110
2317 翬,2018/6/25,98.88
2327 瓣エ,2018/6/25,792.07
2330 縩筿,2018/6/25,218
2357 地河,2018/6/25,274
2382 約笷,2018/6/25,53.7
2395 地,2018/6/25,200.5
2408 玭ㄈ,2018/6/25,86.5
2409 ね笷,2018/6/25,12.85
2412 い地筿,2018/6/25,109.5
2454 羛祇,2018/6/25,310
2474 Θ,2018/6/25,331
2633 芖蔼臟,2018/6/25,23.55
2801 裹蝗,2018/6/25,17.01
2823 い关,2018/6/25,30.18
2880 地玭,2018/6/25,16.83
2881 碔ü,2018/6/25,53.2
2882 瓣,2018/6/25,55.6
2883 秨祇,2018/6/25,11.3
2884 ド,2018/6/25,19.92
2885 じ,2018/6/25,13.85
2886 伦,2018/6/25,26.55
2887 穝,2018/6/25,13.83
2890 ッ伦,2018/6/25,10.93
2891 い獺,2018/6/25,21.75
2892 材,2018/6/25,20.24
2912 参禬,2018/6/25,335
3008 ミ,2018/6/25,"4,440"
3045 芖,2018/6/25,110.5
3481 竤承,2018/6/25,11.25
4904 环肚,2018/6/25,78.1
4938 ㎝河,2018/6/25,63.8
5871 い-KY,2018/6/25,100.97
5880 畐,2018/6/25,17.23
6505 鹅て,2018/6/25,119.5
9904 腳Θ,2018/6/25,35.15
3711 らるщ北,2018/6/25,72.4
1101 猟,2018/6/26,39.72
1102 ㄈ猟,2018/6/26,33.2
1216 参,2018/6/26,76.8
1301 鹅,2018/6/26,110
1303 玭ㄈ,2018/6/26,85.4
1326 て,2018/6/26,118
1402 环狥穝,2018/6/26,28.8
2002 い葵,2018/6/26,23.4
2105 タ穝,2018/6/26,44.6
2207 ㎝ó,2018/6/26,270
2301 腳,2018/6/26,37
2303 羛筿,2018/6/26,17.6
2308 笷筿,2018/6/26,108
2317 翬,2018/6/26,98.27
2327 瓣エ,2018/6/26,863.85
2330 縩筿,2018/6/26,214.5
2357 地河,2018/6/26,276
2382 約笷,2018/6/26,53.2
2395 地,2018/6/26,199.5
2408 玭ㄈ,2018/6/26,85.4
2409 ね笷,2018/6/26,12.7
2412 い地筿,2018/6/26,109.5
2454 羛祇,2018/6/26,296.5
2474 Θ,2018/6/26,337.5
2633 芖蔼臟,2018/6/26,23.4
2801 裹蝗,2018/6/26,16.87
2823 い关,2018/6/26,29.99
2880 地玭,2018/6/26,16.79
2881 碔ü,2018/6/26,50.9
2882 瓣,2018/6/26,53
2883 秨祇,2018/6/26,11.35
2884 ド,2018/6/26,19.88
2885 じ,2018/6/26,13.75
2886 伦,2018/6/26,26.65
2887 穝,2018/6/26,13.78
2890 ッ伦,2018/6/26,10.88
2891 い獺,2018/6/26,21.75
2892 材,2018/6/26,20.14
2912 参禬,2018/6/26,349
3008 ミ,2018/6/26,"4,525"
3045 芖,2018/6/26,110.5
3481 竤承,2018/6/26,11.1
4904 环肚,2018/6/26,78.2
4938 ㎝河,2018/6/26,62.1
5871 い-KY,2018/6/26,99.01
5880 畐,2018/6/26,17.18
6505 鹅て,2018/6/26,121.5
9904 腳Θ,2018/6/26,34.9
3711 らるщ北,2018/6/26,71.5
1101 猟,2018/6/27,39.08
1102 ㄈ猟,2018/6/27,33.3
1216 参,2018/6/27,77.5
1301 鹅,2018/6/27,110
1303 玭ㄈ,2018/6/27,85.5
1326 て,2018/6/27,118
1402 环狥穝,2018/6/27,28.8
2002 い葵,2018/6/27,23.25
2105 タ穝,2018/6/27,44.6
2207 ㎝ó,2018/6/27,267
2301 腳,2018/6/27,37
2303 羛筿,2018/6/27,17.6
2308 笷筿,2018/6/27,107.5
2317 翬,2018/6/27,98.15
2327 瓣エ,2018/6/27,851.33
2330 縩筿,2018/6/27,213
2357 地河,2018/6/27,276.5
2382 約笷,2018/6/27,53
2395 地,2018/6/27,198.5
2408 玭ㄈ,2018/6/27,87.2
2409 ね笷,2018/6/27,12.75
2412 い地筿,2018/6/27,109.5
2454 羛祇,2018/6/27,296.5
2474 Θ,2018/6/27,332.5
2633 芖蔼臟,2018/6/27,23.4
2801 裹蝗,2018/6/27,16.82
2823 い关,2018/6/27,30.32
2880 地玭,2018/6/27,16.74
2881 碔ü,2018/6/27,50.5
2882 瓣,2018/6/27,52.8
2883 秨祇,2018/6/27,11.15
2884 ド,2018/6/27,19.78
2885 じ,2018/6/27,13.7
2886 伦,2018/6/27,26.65
2887 穝,2018/6/27,13.78
2890 ッ伦,2018/6/27,10.78
2891 い獺,2018/6/27,21.9
2892 材,2018/6/27,20.14
2912 参禬,2018/6/27,340.5
3008 ミ,2018/6/27,"4,360"
3045 芖,2018/6/27,110.5
3481 竤承,2018/6/27,11.05
4904 环肚,2018/6/27,78.6
4938 ㎝河,2018/6/27,62
5871 い-KY,2018/6/27,99.01
5880 畐,2018/6/27,17.13
6505 鹅て,2018/6/27,121
9904 腳Θ,2018/6/27,34.55
3711 らるщ北,2018/6/27,70.8
1101 猟,2018/6/28,38.54
1102 ㄈ猟,2018/6/28,33
1216 参,2018/6/28,75
1301 鹅,2018/6/28,109
1303 玭ㄈ,2018/6/28,84.5
1326 て,2018/6/28,117.5
1402 环狥穝,2018/6/28,28.5
2002 い葵,2018/6/28,23.25
2105 タ穝,2018/6/28,44.65
2207 ㎝ó,2018/6/28,267
2301 腳,2018/6/28,36.95
2303 羛筿,2018/6/28,16.95
2308 笷筿,2018/6/28,107
2317 翬,2018/6/28,97.66
2327 瓣エ,2018/6/28,880.54
2330 縩筿,2018/6/28,212
2357 地河,2018/6/28,276
2382 約笷,2018/6/28,52.8
2395 地,2018/6/28,195.5
2408 玭ㄈ,2018/6/28,83
2409 ね笷,2018/6/28,12.6
2412 い地筿,2018/6/28,110
2454 羛祇,2018/6/28,297
2474 Θ,2018/6/28,334
2633 芖蔼臟,2018/6/28,23.7
2801 裹蝗,2018/6/28,16.82
2823 い关,2018/6/28,30.04
2880 地玭,2018/6/28,16.74
2881 碔ü,2018/6/28,50.5
2882 瓣,2018/6/28,53
2883 秨祇,2018/6/28,11.1
2884 ド,2018/6/28,19.69
2885 じ,2018/6/28,13.75
2886 伦,2018/6/28,26.3
2887 穝,2018/6/28,13.73
2890 ッ伦,2018/6/28,10.58
2891 い獺,2018/6/28,21.75
2892 材,2018/6/28,20.14
2912 参禬,2018/6/28,341
3008 ミ,2018/6/28,"4,360"
3045 芖,2018/6/28,111
3481 竤承,2018/6/28,10.85
4904 环肚,2018/6/28,78.8
4938 ㎝河,2018/6/28,60.9
5871 い-KY,2018/6/28,97.05
5880 畐,2018/6/28,17.13
6505 鹅て,2018/6/28,121
9904 腳Θ,2018/6/28,34.5
3711 らるщ北,2018/6/28,70.9
1101 猟,2018/6/29,38.49
1102 ㄈ猟,2018/6/29,33.5
1216 参,2018/6/29,77.4
1301 鹅,2018/6/29,112.5
1303 玭ㄈ,2018/6/29,87.2
1326 て,2018/6/29,121.5
1402 环狥穝,2018/6/29,28.9
2002 い葵,2018/6/29,23.7
2105 タ穝,2018/6/29,45.85
2207 ㎝ó,2018/6/29,268.5
2301 腳,2018/6/29,36.9
2303 羛筿,2018/6/29,16.95
2308 笷筿,2018/6/29,109.5
2317 翬,2018/6/29,100.94
2327 瓣エ,2018/6/29,938.96
2330 縩筿,2018/6/29,216.5
2357 地河,2018/6/29,278.5
2382 約笷,2018/6/29,53.5
2395 地,2018/6/29,201
2408 玭ㄈ,2018/6/29,83.2
2409 ね笷,2018/6/29,12.9
2412 い地筿,2018/6/29,110
2454 羛祇,2018/6/29,300
2474 Θ,2018/6/29,341
2633 芖蔼臟,2018/6/29,23.9
2801 裹蝗,2018/6/29,17.01
2823 い关,2018/6/29,30.28
2880 地玭,2018/6/29,16.98
2881 碔ü,2018/6/29,51.1
2882 瓣,2018/6/29,53.8
2883 秨祇,2018/6/29,11.15
2884 ド,2018/6/29,20.02
2885 じ,2018/6/29,13.9
2886 伦,2018/6/29,26.9
2887 穝,2018/6/29,13.78
2890 ッ伦,2018/6/29,10.78
2891 い獺,2018/6/29,21.95
2892 材,2018/6/29,20.39
2912 参禬,2018/6/29,345.5
3008 ミ,2018/6/29,"4,490"
3045 芖,2018/6/29,110.5
3481 竤承,2018/6/29,10.95
4904 环肚,2018/6/29,78.8
4938 ㎝河,2018/6/29,62.7
5871 い-KY,2018/6/29,98.03
5880 畐,2018/6/29,17.33
6505 鹅て,2018/6/29,122.5
9904 腳Θ,2018/6/29,35.4
3711 らるщ北,2018/6/29,71.6
1101 猟,2018/7/2,38.04
1102 ㄈ猟,2018/7/2,34
1216 参,2018/7/2,76.9
1301 鹅,2018/7/2,112.5
1303 玭ㄈ,2018/7/2,87.3
1326 て,2018/7/2,123.5
1402 环狥穝,2018/7/2,28.9
2002 い葵,2018/7/2,23.25
2105 タ穝,2018/7/2,45.25
2207 ㎝ó,2018/7/2,265.5
2301 腳,2018/7/2,36.8
2303 羛筿,2018/7/2,18.2
2308 笷筿,2018/7/2,104.5
2317 翬,2018/7/2,98.27
2327 瓣エ,2018/7/2,"1,026.60"
2330 縩筿,2018/7/2,214
2357 地河,2018/7/2,273
2382 約笷,2018/7/2,53
2395 地,2018/7/2,199
2408 玭ㄈ,2018/7/2,81
2409 ね笷,2018/7/2,12.9
2412 い地筿,2018/7/2,109.5
2454 羛祇,2018/7/2,305
2474 Θ,2018/7/2,335.5
2633 芖蔼臟,2018/7/2,23.85
2801 裹蝗,2018/7/2,16.91
2823 い关,2018/7/2,29.99
2880 地玭,2018/7/2,16.83
2881 碔ü,2018/7/2,50.3
2882 瓣,2018/7/2,53.2
2883 秨祇,2018/7/2,11.3
2884 ド,2018/7/2,19.83
2885 じ,2018/7/2,13.85
2886 伦,2018/7/2,26.5
2887 穝,2018/7/2,13.78
2890 ッ伦,2018/7/2,10.73
2891 い獺,2018/7/2,21.7
2892 材,2018/7/2,20.09
2912 参禬,2018/7/2,338.5
3008 ミ,2018/7/2,"4,560"
3045 芖,2018/7/2,110
3481 竤承,2018/7/2,10.95
4904 环肚,2018/7/2,77.3
4938 ㎝河,2018/7/2,62.7
5871 い-KY,2018/7/2,95.29
5880 畐,2018/7/2,17.13
6505 鹅て,2018/7/2,121
9904 腳Θ,2018/7/2,35.15
3711 らるщ北,2018/7/2,70.9
1101 猟,2018/7/3,38.86
1102 ㄈ猟,2018/7/3,34.5
1216 参,2018/7/3,76.6
1301 鹅,2018/7/3,113
1303 玭ㄈ,2018/7/3,88
1326 て,2018/7/3,124
1402 环狥穝,2018/7/3,29.55
2002 い葵,2018/7/3,23.25
2105 タ穝,2018/7/3,44.7
2207 ㎝ó,2018/7/3,260.5
2301 腳,2018/7/3,36.5
2303 羛筿,2018/7/3,17.95
2308 笷筿,2018/7/3,104
2317 翬,2018/7/3,97.91
2327 瓣エ,2018/7/3,972.35
2330 縩筿,2018/7/3,214.5
2357 地河,2018/7/3,260
2382 約笷,2018/7/3,52.4
2395 地,2018/7/3,194.5
2408 玭ㄈ,2018/7/3,81.8
2409 ね笷,2018/7/3,12.8
2412 い地筿,2018/7/3,111
2454 羛祇,2018/7/3,304.5
2474 Θ,2018/7/3,334
2633 芖蔼臟,2018/7/3,23.6
2801 裹蝗,2018/7/3,16.82
2823 い关,2018/7/3,29.66
2880 地玭,2018/7/3,16.74
2881 碔ü,2018/7/3,50
2882 瓣,2018/7/3,52.1
2883 秨祇,2018/7/3,11.35
2884 ド,2018/7/3,19.73
2885 じ,2018/7/3,13.55
2886 伦,2018/7/3,26.4
2887 穝,2018/7/3,13.64
2890 ッ伦,2018/7/3,10.63
2891 い獺,2018/7/3,21.65
2892 材,2018/7/3,19.99
2912 参禬,2018/7/3,339.5
3008 ミ,2018/7/3,"4,530"
3045 芖,2018/7/3,110.5
3481 竤承,2018/7/3,10.85
4904 环肚,2018/7/3,78.3
4938 ㎝河,2018/7/3,63
5871 い-KY,2018/7/3,93.33
5880 畐,2018/7/3,17.09
6505 鹅て,2018/7/3,123
9904 腳Θ,2018/7/3,34.9
3711 らるщ北,2018/7/3,69.5
1101 猟,2018/7/4,38.18
1102 ㄈ猟,2018/7/4,34.65
1216 参,2018/7/4,77.1
1301 鹅,2018/7/4,114
1303 玭ㄈ,2018/7/4,88
1326 て,2018/7/4,127
1402 环狥穝,2018/7/4,30.8
2002 い葵,2018/7/4,23.5
2105 タ穝,2018/7/4,45.55
2207 ㎝ó,2018/7/4,262
2301 腳,2018/7/4,36.5
2303 羛筿,2018/7/4,17.95
2308 笷筿,2018/7/4,101.5
2317 翬,2018/7/4,99
2327 瓣エ,2018/7/4,984.87
2330 縩筿,2018/7/4,216
2357 地河,2018/7/4,260.5
2382 約笷,2018/7/4,51.9
2395 地,2018/7/4,195
2408 玭ㄈ,2018/7/4,80.9
2409 ね笷,2018/7/4,12.8
2412 い地筿,2018/7/4,111.5
2454 羛祇,2018/7/4,298
2474 Θ,2018/7/4,342
2633 芖蔼臟,2018/7/4,24.05
2801 裹蝗,2018/7/4,16.82
2823 い关,2018/7/4,29.9
2880 地玭,2018/7/4,16.83
2881 碔ü,2018/7/4,50
2882 瓣,2018/7/4,51.9
2883 秨祇,2018/7/4,11.4
2884 ド,2018/7/4,19.69
2885 じ,2018/7/4,13.1
2886 伦,2018/7/4,26.5
2887 穝,2018/7/4,13.68
2890 ッ伦,2018/7/4,10.73
2891 い獺,2018/7/4,21.8
2892 材,2018/7/4,20.09
2912 参禬,2018/7/4,344.5
3008 ミ,2018/7/4,"4,450"
3045 芖,2018/7/4,111
3481 竤承,2018/7/4,10.9
4904 环肚,2018/7/4,78.9
4938 ㎝河,2018/7/4,63.4
5871 い-KY,2018/7/4,94.31
5880 畐,2018/7/4,17.13
6505 鹅て,2018/7/4,115.5
9904 腳Θ,2018/7/4,35.45
3711 らるщ北,2018/7/4,70
1101 猟,2018/7/5,38.22
1102 ㄈ猟,2018/7/5,33.7
1216 参,2018/7/5,77
1301 鹅,2018/7/5,113.5
1303 玭ㄈ,2018/7/5,88
1326 て,2018/7/5,116.5
1402 环狥穝,2018/7/5,30.9
2002 い葵,2018/7/5,23.45
2105 タ穝,2018/7/5,45.35
2207 ㎝ó,2018/7/5,260
2301 腳,2018/7/5,36.2
2303 羛筿,2018/7/5,17.95
2308 笷筿,2018/7/5,98.9
2317 翬,2018/7/5,98.51
2327 瓣エ,2018/7/5,930.62
2330 縩筿,2018/7/5,214.5
2357 地河,2018/7/5,261
2382 約笷,2018/7/5,52.1
2395 地,2018/7/5,193
2408 玭ㄈ,2018/7/5,78.1
2409 ね笷,2018/7/5,12.8
2412 い地筿,2018/7/5,112
2454 羛祇,2018/7/5,281.5
2474 Θ,2018/7/5,342
2633 芖蔼臟,2018/7/5,24.3
2801 裹蝗,2018/7/5,16.77
2823 い关,2018/7/5,29.81
2880 地玭,2018/7/5,16.83
2881 碔ü,2018/7/5,49.8
2882 瓣,2018/7/5,51.4
2883 秨祇,2018/7/5,11.35
2884 ド,2018/7/5,19.69
2885 じ,2018/7/5,13
2886 伦,2018/7/5,26.5
2887 穝,2018/7/5,13.64
2890 ッ伦,2018/7/5,10.63
2891 い獺,2018/7/5,21.7
2892 材,2018/7/5,19.99
2912 参禬,2018/7/5,341.5
3008 ミ,2018/7/5,"4,540"
3045 芖,2018/7/5,110.5
3481 竤承,2018/7/5,10.95
4904 环肚,2018/7/5,78.9
4938 ㎝河,2018/7/5,63.1
5871 い-KY,2018/7/5,93.23
5880 畐,2018/7/5,17.09
6505 鹅て,2018/7/5,119
9904 腳Θ,2018/7/5,35.5
3711 らるщ北,2018/7/5,69.6
1101 猟,2018/7/6,37.81
1102 ㄈ猟,2018/7/6,34.2
1216 参,2018/7/6,78
1301 鹅,2018/7/6,109.5
1303 玭ㄈ,2018/7/6,87.1
1326 て,2018/7/6,113
1402 环狥穝,2018/7/6,31.5
2002 い葵,2018/7/6,23.5
2105 タ穝,2018/7/6,44.6
2207 ㎝ó,2018/7/6,261
2301 腳,2018/7/6,35.8
2303 羛筿,2018/7/6,17.6
2308 笷筿,2018/7/6,99.2
2317 翬,2018/7/6,97.66
2327 瓣エ,2018/7/6,980.7
2330 縩筿,2018/7/6,217
2357 地河,2018/7/6,258
2382 約笷,2018/7/6,51.7
2395 地,2018/7/6,193
2408 玭ㄈ,2018/7/6,79.3
2409 ね笷,2018/7/6,13
2412 い地筿,2018/7/6,112
2454 羛祇,2018/7/6,285
2474 Θ,2018/7/6,336
2633 芖蔼臟,2018/7/6,24.3
2801 裹蝗,2018/7/6,16.77
2823 い关,2018/7/6,29.81
2880 地玭,2018/7/6,16.79
2881 碔ü,2018/7/6,49.45
2882 瓣,2018/7/6,51
2883 秨祇,2018/7/6,11.35
2884 ド,2018/7/6,19.73
2885 じ,2018/7/6,13.05
2886 伦,2018/7/6,26.45
2887 穝,2018/7/6,13.54
2890 ッ伦,2018/7/6,10.63
2891 い獺,2018/7/6,21.5
2892 材,2018/7/6,20.04
2912 参禬,2018/7/6,346.5
3008 ミ,2018/7/6,"4,605"
3045 芖,2018/7/6,111
3481 竤承,2018/7/6,11.15
4904 环肚,2018/7/6,78.9
4938 ㎝河,2018/7/6,62.4
5871 い-KY,2018/7/6,92.94
5880 畐,2018/7/6,17.09
6505 鹅て,2018/7/6,116
9904 腳Θ,2018/7/6,33.05
